timestep	p1
56300	1.517157995
56400	1.207793006
56500	1.318713782
56600	1.173565101
56700	1.19781227
56800	1.273642299
56900	1.152258109
57000	1.119127437
57100	1.091842483
57200	1.11676947
57300	1.128811012
57400	1.143359028
57500	1.233060057
57600	1.27403767
57700	1.14252307
57800	1.222758586
57900	1.082359963
58000	1.188238251
58100	1.251441012
58200	1.054602024
58300	1.070064808
58400	1.61293312
58500	1.15743868
58600	1.221875305
58700	1.170839389
58800	1.274462755
58900	1.123933849
59000	1.113053461
59100	1.108173284
59200	1.099557205
59300	1.136235849
59400	1.160834042
59500	1.232459479
59600	1.149289886
59700	1.242242266
59800	1.09684783
59900	1.148728211
60000	1.134494901
60100	1.180810853
60200	1.195821121
60300	1.13063249
60400	1.194055916
60500	1.166284093
60600	1.171553489
60700	1.172232253
60800	1.124728271
60900	1.14138739
61000	1.177046363
61100	1.132067561
61200	1.088324197
61300	1.126993752
61400	1.189035544
61500	1.146782465
61600	1.275098521
61700	1.080515816
61800	1.193553034
61900	1.087024374
62000	1.15280251
62100	1.154816778
62200	1.114902481
62300	1.275844652
62400	1.443272899
62500	1.064443041
62600	1.203552105
62700	1.049335416
62800	1.444778834
62900	1.377912691
63000	1.121364714
63100	1.222067556
63200	1.21323032
63300	1.348543462
63400	1.306882702
63500	1.178296738
63600	1.164585006
63700	1.213657586
63800	1.17734689
63900	1.212027404
64000	1.090164057
64100	1.132829219
64200	1.186818561
64300	1.150485286
64400	1.059057838
64500	1.174257672
64600	1.20682245
64700	1.179925096
64800	1.14366427
64900	1.22757806
65000	1.191625042
65100	1.04353823
65200	1.160364172
65300	1.052132804
65400	1.147500244
65500	1.168663139
65600	1.088106344
65700	1.0877114
65800	1.187104032
65900	1.105979008
66000	1.199970487
66100	1.088707581
66200	1.051107859
66300	1.209295244
66400	1.175947047
66500	1.171420078
66600	1.267146256
66700	1.160301819
66800	1.286383191
66900	1.153879145
67000	1.261610902
67100	1.223708072
67200	1.160308506
67300	1.225343189
67400	1.122910197
67500	1.069618838
67600	1.132968237
67700	1.232874473
67800	1.262143456
67900	1.076208795
68000	1.175688631
68100	1.089951493
68200	1.097337583
68300	1.091605019
68400	1.148444329
68500	1.087971174
68600	1.087889043
68700	1.05660996
68800	1.233323377
68900	1.178914211
69000	1.138089979
69100	1.152214568
69200	1.195117245
69300	1.158486539
69400	1.088697183
69500	1.20572293
69600	1.089813509
69700	1.085557551
69800	1.10371563
69900	1.176909131
70000	1.325701746
70100	1.173762357
70200	1.20233816
70300	1.13793358
70400	1.232427021
70500	1.115210788
70600	1.129319787
70700	1.107109283
70800	1.339341721
70900	1.173342611
71000	1.145699624
71100	1.185290848
71200	1.329823892
