timestep	p0x	p0y	p0z	plx	ply	plz	ree
229500	-7.44039061	2.11624549	4.969569643	-6.844433762	2.607864991	6.75478592	1.945212445
229600	-7.161683796	1.479854197	6.092846765	-6.930513906	2.523495672	6.319753202	1.09275504
229700	-7.530627159	1.450504435	6.221733876	-6.912119438	2.702371123	5.957919447	1.421027818
229800	-7.265562803	1.120301276	6.360808502	-7.416342089	2.257457502	5.76500789	1.292608621
229900	-7.767261621	1.276151117	6.027470011	-7.346178553	2.603401433	5.612429954	1.452984033
230000	-7.882970715	1.244625273	6.692114038	-7.090379549	2.056169919	5.747339349	1.476280691
230100	-7.802644769	1.133246637	6.300027821	-6.750262274	2.110499411	6.61716643	1.470751099
230200	-8.079532153	1.110413115	5.813150961	-7.030290131	1.902603834	6.382137797	1.432557495
230300	-7.860480125	1.507126138	5.846881699	-6.850712856	2.401609586	6.055876186	1.365067497
230400	-7.733799795	1.512815778	6.280151247	-7.11024625	2.286209188	6.045125689	1.020878741
230500	-7.847438133	1.253562812	6.375745927	-7.092967024	2.464270045	6.441642217	1.428068969
230600	-7.789130762	1.777866393	6.145074545	-6.958925109	2.351548301	6.251641566	1.014745726
230700	-8.349825382	2.391216857	6.145465686	-7.420562441	2.420486434	6.575156154	1.024216881
230800	-8.236813026	2.320593836	5.821517671	-7.589183424	2.82338677	6.859836038	1.323000329
230900	-8.285216469	2.887621705	5.588086417	-8.372940757	3.155667055	6.679698807	1.127457969
231000	-8.172853591	2.255840335	6.173725223	-9.067805613	2.682567286	6.926002413	1.244570602
231100	-7.821915667	1.607131726	6.952869557	-8.810926557	1.88750398	7.194072934	1.055902557
231200	-7.731107006	0.8661345037	7.233697981	-8.755188894	1.301932023	7.245599823	1.113016103
231300	-7.804211277	0.7655807593	6.958907321	-8.731981795	0.5433946426	7.490996609	1.092357
231400	-7.445604625	0.2529907821	6.80737645	-8.703150946	0.2203347648	7.354729908	1.371891021
231500	-7.372650866	-0.1593245325	6.996091712	-7.996592468	0.563970483	7.486353512	1.07369243
231600	-7.245155061	-0.1268222072	7.847492263	-8.252095122	0.7826924953	7.963681674	1.361853612
231700	-6.747194093	0.1740873241	8.022391739	-7.99203613	-0.002574762143	8.633544014	1.397980076
231800	-7.092136244	0.3828733713	8.581465844	-8.272915055	-0.352884214	8.589146221	1.391271653
231900	-7.646976667	0.3273308864	8.99611538	-8.586309442	0.1625934999	8.607759777	1.029710903
232000	-7.661754273	0.7792458291	8.80019337	-8.649443534	-0.07803243428	8.751633852	1.308745248
232100	-7.686852273	0.6907410411	8.386765519	-8.306035377	0.05206031862	9.293221276	1.270024733
232200	-7.309865643	0.6303661766	8.873159847	-8.501218382	0.2218970838	8.502657461	1.312798677
232300	-7.802341951	0.285585564	8.999523501	-8.128175708	-0.3647685145	8.278040844	1.024531741
232400	-6.973515931	0.6276755651	8.409264555	-7.620202807	-0.3539101101	8.831330365	1.248941112
232500	-7.46517823	0.3065786653	8.273723443	-7.059895618	-0.4424911671	9.092964927	1.181742874
232600	-7.849552254	0.1685773185	7.951640484	-7.352195162	-0.1932192228	9.18961087	1.382328286
232700	-7.833032443	-0.3659006629	8.003390236	-7.16889859	-0.4942616335	8.854991328	1.087554474
232800	-7.862177479	-0.6457869504	7.811615659	-7.17343347	-0.5804970528	8.609470877	1.05603221
232900	-7.737813471	-0.2115177778	7.676132358	-7.57655435	-0.583674595	9.009011575	1.393223675
233000	-7.064799167	0.06242102351	7.685945368	-7.937850413	-0.2046868698	8.276381062	1.087280743
233100	-7.37011441	-0.008264020262	7.596712069	-7.461334732	0.06906420769	8.613655601	1.023950658
233200	-7.679465116	0.3525004369	7.752789313	-7.682465944	0.3683802712	9.142821113	1.390125742
233300	-8.591309918	0.4315542881	8.923096738	-7.318464161	0.3550812184	9.054440017	1.281887478
233400	-8.71218584	-0.05781064077	9.098649055	-7.652918872	0.6398759783	9.247614306	1.277107581
233500	-8.50100906	0.308865727	9.147545468	-7.552452347	0.4716286703	9.503192538	1.026029459
233600	-8.612069038	0.6891063742	9.197446222	-7.554929697	0.6208863613	9.524652858	1.108720767
233700	-8.551008731	1.009726303	9.421460322	-7.896611999	0.3727722386	10.00378963	1.083075705
233800	-9.2013451	1.15915428	9.25883425	-8.399063846	1.198144768	10.31959908	1.330562852
233900	-9.029802176	0.2823824811	9.137246816	-9.106888633	1.034094449	10.26081231	1.35403568
234000	-8.885777477	0.1566596199	9.280925638	-8.769268782	1.225750989	10.05225468	1.323434594
234100	-8.922676741	-0.251648799	8.857544437	-9.034727351	0.768455005	9.590282583	1.26098069
234200	-8.986450806	-0.7039586961	9.1949723	-9.323124821	0.2170179215	9.831316753	1.168966033
234300	-9.13037499	-1.578735831	9.149054913	-9.565959835	-0.6898166312	9.920446458	1.254972676
234400	-9.704497037	-1.598078612	9.227716711	-9.465514349	-1.266830952	10.51650098	1.351962507
234500	-10.35483285	-1.301811449	9.218328114	-9.289124855	-1.959264872	9.655532298	1.326320484
234600	-10.81939311	-1.165903727	9.214613752	-9.65771039	-1.419214415	9.341066046	1.195685255
234700	-11.28313826	-0.9327271037	9.26691916	-10.23497025	-1.332207064	9.079383507	1.137281865
234800	-11.42877545	-0.8837323896	8.702425847	-10.56999413	-1.502290061	9.352670457	1.242150151
234900	-10.88459525	-1.590110737	8.33191085	-10.88444884	-1.067042478	9.305600992	1.105293137
235000	-10.57376304	-1.955030348	8.694664047	-10.59213833	-0.8656435175	8.7494422	1.090917946
235100	-10.47417159	-2.004631187	8.546309433	-10.04198387	-0.8213377315	8.489314077	1.261038501
235200	-10.08606398	-1.883567676	8.477786265	-9.585942019	-0.7117910717	8.615673521	1.281481675
235300	-9.769576161	-1.714412372	8.045307394	-9.470107571	-0.6897470518	8.02453183	1.067732213
235400	-9.368310555	-1.99135486	8.223042479	-9.514350625	-0.8917897978	8.346613847	1.116082842
235500	-9.059020527	-1.689668736	8.231290676	-9.158829069	-1.185836045	9.384154674	1.262103214
235600	-8.514328956	-0.7526823359	8.135325653	-8.845054026	-0.7841595587	9.210476337	1.125308348
235700	-8.311266567	-0.5465599876	7.909181437	-8.595818615	-0.7196714802	8.962912612	1.105118476
235800	-8.12749312	-0.6038370757	8.248806583	-8.059393476	-0.2986590346	9.503199716	1.292777371
235900	-8.398391144	-0.9080161398	8.347727502	-8.02636801	0.08188031336	9.17139129	1.340417187
236000	-9.07668551	-0.5044626168	8.432337275	-8.108805844	0.1382863394	9.026503352	1.304971492
236100	-9.047513179	0.1373106829	8.567844434	-8.034279325	0.4013910864	8.935159219	1.109640236
236200	-8.968557984	0.2257285449	8.508847641	-8.618099561	1.347999665	8.748582389	1.199910964
236300	-9.780424064	0.687988505	8.547255291	-9.26578341	1.857270699	8.238619491	1.314279997
236400	-9.922151646	1.718418604	9.006355151	-9.83828914	1.761507657	7.692921848	1.316813058
236500	-9.199085421	1.519138991	8.146406466	-10.23867911	2.117413949	7.790133185	1.251246828
236600	-9.569425483	1.493989478	7.474225227	-9.851721391	2.472658993	7.644419334	1.03269116
236700	-9.625838703	1.525476175	6.805807318	-9.818422173	2.765247658	7.088407339	1.286073285
236800	-9.790741219	2.088807742	6.70733224	-10.59446911	3.02890742	6.823722397	1.242301332
236900	-10.14160196	2.523734428	6.48467885	-11.02603138	3.060278197	6.712858298	1.059320763
237000	-10.0950757	2.365805204	6.394125287	-11.16054361	2.962698969	6.785997558	1.282602009
237100	-10.48416141	2.091294183	6.269777658	-11.06650311	3.187278743	6.734132046	1.325114713
237200	-11.43480009	2.47298814	6.228884542	-11.08307313	3.325896002	6.936442209	1.162669999
237300	-12.20631318	2.874265211	6.254954047	-11.27893323	3.276224737	6.894684198	1.196185482
